gene	tau	top_celltype	top_celltype_log1p_mean	any_expression	bucket	above_floor	call
MNDA	0.9967688036260531	leukocyte	0.1090265754435035	True	highly specific (≥0.85)	False	below detection
LINC01259	0.9954697060649096	leukocyte	0.0008343763653243229	True	highly specific (≥0.85)	False	below detection
IL10	0.9918103440100353	leukocyte	0.2314561478276886	True	highly specific (≥0.85)	False	below detection
RUNX3	0.9906488883486064	leukocyte	0.8316744286731081	True	highly specific (≥0.85)	True	leukocyte
TAGAP	0.9905398110011865	leukocyte	0.07785719615439808	True	highly specific (≥0.85)	False	below detection
HLA-DQA1	0.9902889182474006	leukocyte	1.069248230543535	True	highly specific (≥0.85)	True	leukocyte
IKZF1	0.9888199815170762	leukocyte	0.3351596604061746	True	highly specific (≥0.85)	False	below detection
CLEC10A	0.9887854849738978	leukocyte	0.014090577566831694	True	highly specific (≥0.85)	False	below detection
CFTR	0.9874740548653829	duct epithelial cell	1.426287333794679	True	highly specific (≥0.85)	True	duct epithelial cell
CCR7	0.9856388218929923	leukocyte	0.429655404759267	True	highly specific (≥0.85)	False	below detection
APOBR	0.9836311740202526	leukocyte	0.11425241676049083	True	highly specific (≥0.85)	False	below detection
IL2RA	0.9830362186392791	leukocyte	0.040888770134577944	True	highly specific (≥0.85)	False	below detection
UMOD	0.9790710659176742	acinar cell	0.016222294510686144	True	highly specific (≥0.85)	False	below detection
IL27	0.9759226772862328	leukocyte	0.005826067340947169	True	highly specific (≥0.85)	False	below detection
SLC15A3	0.9749592652885317	leukocyte	0.5044615126844151	True	highly specific (≥0.85)	True	leukocyte
IL7R	0.9725520436671481	leukocyte	0.08401579768323567	True	highly specific (≥0.85)	False	below detection
IRF4	0.968397674381263	leukocyte	0.03284367474969388	True	highly specific (≥0.85)	False	below detection
AFF3	0.9679721061180204	epsilon cell	0.11551288624132112	True	highly specific (≥0.85)	False	below detection
CTLA4	0.9671355115613764	leukocyte	0.003333336452106561	True	highly specific (≥0.85)	False	below detection
HLA-DRB5	0.9667741206696732	leukocyte	1.2212680993121106	True	highly specific (≥0.85)	True	leukocyte
