gene	cell_type	disease_state	n_cells	mean	median	pct_expressing	n_nonzero
ACAP1	PP cell	AAB	447	0.06711409240961075	0.0	6.0402684563758395	27
ACAP1	PP cell	Control	1402	0.02211126871407032	0.0	2.0684736091298146	29
ACAP1	PP cell	T1D	362	0.049723755568265915	0.0	3.867403314917127	14
ACAP1	PP cell	T2D	614	0.05048859864473343	0.0	4.723127035830619	29
ACAP1	acinar cell	AAB	6645	0.028141459450125694	0.0	2.558314522197141	170
ACAP1	acinar cell	Control	25693	0.009496750310063362	0.0	0.9029696804577122	232
ACAP1	acinar cell	T1D	11264	0.030806107446551323	0.0	2.903053977272727	327
ACAP1	acinar cell	T2D	15892	0.01566825993359089	0.0	1.4535615403976843	231
ACAP1	alpha cell	AAB	8759	0.03151044622063637	0.0	3.036876355748373	266
ACAP1	alpha cell	Control	31545	0.026977334171533585	0.0	2.5772705658582975	813
ACAP1	alpha cell	T1D	8175	0.05113149806857109	0.0	4.868501529051987	398
ACAP1	alpha cell	T2D	16634	0.03306480869650841	0.0	3.1561861248046172	525
ACAP1	beta cell	AAB	8523	0.07321365922689438	0.0	6.652587117212249	567
ACAP1	beta cell	Control	27160	0.04749631881713867	0.0	4.267304860088365	1159
ACAP1	beta cell	T1D	715	0.11748252063989639	0.0	10.34965034965035	74
ACAP1	beta cell	T2D	8161	0.08320058882236481	0.0	7.535841195931871	615
ACAP1	delta cell	AAB	655	0.042748089879751205	0.0	4.122137404580153	27
ACAP1	delta cell	Control	3358	0.03811792656779289	0.0	3.692674210839786	124
ACAP1	delta cell	T1D	737	0.047489821910858154	0.0	4.477611940298507	33
ACAP1	delta cell	T2D	919	0.05984766036272049	0.0	5.549510337323178	51
ACAP1	duct epithelial cell	AAB	3313	0.044068820774555206	0.0	3.742831270751585	124
ACAP1	duct epithelial cell	Control	6724	0.016061868518590927	0.0	1.561570493753718	105
ACAP1	duct epithelial cell	T1D	5311	0.042929768562316895	0.0	4.029372999435134	214
ACAP1	duct epithelial cell	T2D	4877	0.038343243300914764	0.0	3.4857494361287675	170
ACAP1	endothelial cell	AAB	913	0.001095290295779705	0.0	0.10952902519167579	1
ACAP1	endothelial cell	Control	2744	0.0007288630004040897	0.0	0.0728862973760933	2
ACAP1	endothelial cell	T1D	945	0.0	0.0	0.0	0
ACAP1	endothelial cell	T2D	1250	0.0007999999797903001	0.0	0.08	1
ACAP1	epsilon cell	AAB	35	0.02857142873108387	0.0	2.857142857142857	1
ACAP1	epsilon cell	Control	97	0.010309278033673763	0.0	1.0309278350515463	1
ACAP1	epsilon cell	T1D	41	0.0731707289814949	0.0	7.317073170731707	3
ACAP1	epsilon cell	T2D	23	0.043478261679410934	0.0	4.3478260869565215	1
ACAP1	leukocyte	AAB	136	0.022058824077248573	0.0	2.2058823529411766	3
ACAP1	leukocyte	Control	529	0.03402646631002426	0.0	3.213610586011342	17
ACAP1	leukocyte	T1D	229	0.06550218164920807	0.0	5.676855895196507	13
ACAP1	leukocyte	T2D	304	0.032894738018512726	0.0	3.289473684210526	10
ACAP1	mesenchymal cell	AAB	1571	0.02609802596271038	0.0	2.2915340547422023	36
ACAP1	mesenchymal cell	Control	4411	0.01654953509569168	0.0	1.5416005440943097	68
ACAP1	mesenchymal cell	T1D	1132	0.06978798657655716	0.0	5.6537102473498235	64
ACAP1	mesenchymal cell	T2D	2473	0.019813990220427513	0.0	1.981399110392236	49
ACAP1	unknown	AAB	901	0.014428412541747093	0.0	1.4428412874583796	13
ACAP1	unknown	Control	3424	0.005257009528577328	0.0	0.4964953271028037	17
ACAP1	unknown	T1D	1206	0.019900497049093246	0.0	1.8242122719734661	22
ACAP1	unknown	T2D	1828	0.014223194681107998	0.0	1.3676148796498906	25
ACOXL	PP cell	AAB	447	0.0	0.0	0.0	0
ACOXL	PP cell	Control	1402	0.0007132667815312743	0.0	0.07132667617689016	1
ACOXL	PP cell	T1D	362	0.0	0.0	0.0	0
ACOXL	PP cell	T2D	614	0.0032573288772255182	0.0	0.32573289902280134	2
ACOXL	acinar cell	AAB	6645	0.00030097816488705575	0.0	0.030097817908201655	2
ACOXL	acinar cell	Control	25693	0.0003113688435405493	0.0	0.03113688553302456	8
ACOXL	acinar cell	T1D	11264	0.0005326704704202712	0.0	0.05326704545454545	6
ACOXL	acinar cell	T2D	15892	0.00012584948854055256	0.0	0.012584948401711553	2
ACOXL	alpha cell	AAB	8759	0.003653384977951646	0.0	0.3653385089622103	32
ACOXL	alpha cell	Control	31545	0.004121096804738045	0.0	0.4089396100808369	129
ACOXL	alpha cell	T1D	8175	0.005749235395342112	0.0	0.5626911314984709	46
ACOXL	alpha cell	T2D	16634	0.005350486841052771	0.0	0.5350486954430684	89
ACOXL	beta cell	AAB	8523	0.007509093265980482	0.0	0.7391763463569165	63
ACOXL	beta cell	Control	27160	0.007547864690423012	0.0	0.7326951399116347	199
ACOXL	beta cell	T1D	715	0.0195804201066494	0.0	1.5384615384615385	11
ACOXL	beta cell	T2D	8161	0.0060041663236916065	0.0	0.5759098149736552	47
ACOXL	delta cell	AAB	655	0.0015267175622284412	0.0	0.15267175572519084	1
ACOXL	delta cell	Control	3358	0.004466944839805365	0.0	0.4169148302561048	14
ACOXL	delta cell	T1D	737	0.0013568521244451404	0.0	0.13568521031207598	1
ACOXL	delta cell	T2D	919	0.005440696608275175	0.0	0.544069640914037	5
ACOXL	duct epithelial cell	AAB	3313	0.0036220948677510023	0.0	0.332025354663447	11
ACOXL	duct epithelial cell	Control	6724	0.001784652005881071	0.0	0.1635930993456276	11
ACOXL	duct epithelial cell	T1D	5311	0.0016945961397141218	0.0	0.16945961212577668	9
ACOXL	duct epithelial cell	T2D	4877	0.0026655730325728655	0.0	0.26655730982161163	13
ACOXL	endothelial cell	AAB	913	0.009857612662017345	0.0	0.9857612267250823	9
ACOXL	endothelial cell	Control	2744	0.0058309040032327175	0.0	0.5830903790087464	16
ACOXL	endothelial cell	T1D	945	0.013756614178419113	0.0	1.2698412698412698	12
ACOXL	endothelial cell	T2D	1250	0.004800000227987766	0.0	0.48	6
ACOXL	epsilon cell	AAB	35	0.0	0.0	0.0	0
ACOXL	epsilon cell	Control	97	0.0	0.0	0.0	0
ACOXL	epsilon cell	T1D	41	0.0	0.0	0.0	0
ACOXL	epsilon cell	T2D	23	0.0	0.0	0.0	0
ACOXL	leukocyte	AAB	136	0.0	0.0	0.0	0
ACOXL	leukocyte	Control	529	0.0	0.0	0.0	0
ACOXL	leukocyte	T1D	229	0.0	0.0	0.0	0
ACOXL	leukocyte	T2D	304	0.0	0.0	0.0	0
ACOXL	mesenchymal cell	AAB	1571	0.010184595361351967	0.0	1.0184595798854232	16
ACOXL	mesenchymal cell	Control	4411	0.003627295373007655	0.0	0.36272953978689637	16
ACOXL	mesenchymal cell	T1D	1132	0.004416961222887039	0.0	0.441696113074205	5
ACOXL	mesenchymal cell	T2D	2473	0.004043671768158674	0.0	0.3639304488475536	9
ACOXL	unknown	AAB	901	0.0033296337351202965	0.0	0.3329633740288568	3
ACOXL	unknown	Control	3424	0.001168224262073636	0.0	0.11682242990654204	4
ACOXL	unknown	T1D	1206	0.0	0.0	0.0	0
ACOXL	unknown	T2D	1828	0.0016411378746852279	0.0	0.16411378555798686	3
AFF3	PP cell	AAB	447	0.01342281885445118	0.0	1.342281879194631	6
AFF3	PP cell	Control	1402	0.0035663337912410498	0.0	0.3566333808844508	5
AFF3	PP cell	T1D	362	0.008287292905151844	0.0	0.8287292817679558	3
AFF3	PP cell	T2D	614	0.019543973729014397	0.0	1.9543973941368076	12
AFF3	acinar cell	AAB	6645	0.0	0.0	0.0	0
AFF3	acinar cell	Control	25693	0.0003113688435405493	0.0	0.03113688553302456	8
AFF3	acinar cell	T1D	11264	0.0006214488530531526	0.0	0.06214488636363636	7
AFF3	acinar cell	T2D	15892	0.001950667006894946	0.0	0.15731185502139441	25
AFF3	alpha cell	AAB	8759	0.00490923598408699	0.0	0.45667313620276284	40
AFF3	alpha cell	Control	31545	0.004660009406507015	0.0	0.4533206530353463	143
AFF3	alpha cell	T1D	8175	0.00623853225260973	0.0	0.6116207951070336	50
AFF3	alpha cell	T2D	16634	0.0057111941277980804	0.0	0.5350486954430684	89
AFF3	beta cell	AAB	8523	0.004575853701680899	0.0	0.44585239938988613	38
AFF3	beta cell	Control	27160	0.005154639016836882	0.0	0.508100147275405	138
AFF3	beta cell	T1D	715	0.0139860138297081	0.0	1.3986013986013985	10
AFF3	beta cell	T2D	8161	0.012008332647383213	0.0	1.1273128293101335	92
AFF3	delta cell	AAB	655	0.0030534351244568825	0.0	0.3053435114503817	2
AFF3	delta cell	Control	3358	0.0011911852052435279	0.0	0.11911852293031568	4
AFF3	delta cell	T1D	737	0.012211669236421585	0.0	1.2211668928086838	9
AFF3	delta cell	T2D	919	0.006528835743665695	0.0	0.544069640914037	5
AFF3	duct epithelial cell	AAB	3313	0.00150920613668859	0.0	0.1509206157561123	5
AFF3	duct epithelial cell	Control	6724	0.0016359309665858746	0.0	0.1635930993456276	11
AFF3	duct epithelial cell	T1D	5311	0.0016945961397141218	0.0	0.16945961212577668	9
AFF3	duct epithelial cell	T2D	4877	0.0012302645482122898	0.0	0.12302645068689769	6
AFF3	endothelial cell	AAB	913	0.0	0.0	0.0	0
AFF3	endothelial cell	Control	2744	0.0	0.0	0.0	0
AFF3	endothelial cell	T1D	945	0.0	0.0	0.0	0
AFF3	endothelial cell	T2D	1250	0.0	0.0	0.0	0
AFF3	epsilon cell	AAB	35	0.08571428805589676	0.0	8.571428571428571	3
AFF3	epsilon cell	Control	97	0.11340206116437912	0.0	11.34020618556701	11
AFF3	epsilon cell	T1D	41	0.09756097197532654	0.0	9.75609756097561	4
AFF3	epsilon cell	T2D	23	0.260869562625885	0.0	17.391304347826086	4
AFF3	leukocyte	AAB	136	0.0	0.0	0.0	0
AFF3	leukocyte	Control	529	0.0018903592135757208	0.0	0.1890359168241966	1
AFF3	leukocyte	T1D	229	0.0043668122962117195	0.0	0.43668122270742354	1
AFF3	leukocyte	T2D	304	0.003289473708719015	0.0	0.3289473684210526	1
AFF3	mesenchymal cell	AAB	1571	0.004455760587006807	0.0	0.3819223424570337	6
AFF3	mesenchymal cell	Control	4411	0.004080707207322121	0.0	0.4080707322602585	18
AFF3	mesenchymal cell	T1D	1132	0.007067137863487005	0.0	0.6183745583038869	7
AFF3	mesenchymal cell	T2D	2473	0.01051354594528675	0.0	0.8491710473109584	21
AFF3	unknown	AAB	901	0.0011098779505118728	0.0	0.11098779134295228	1
AFF3	unknown	Control	3424	0.001168224262073636	0.0	0.11682242990654204	4
AFF3	unknown	T1D	1206	0.0016583747928962111	0.0	0.16583747927031509	2
AFF3	unknown	T2D	1828	0.0027352296747267246	0.0	0.2735229759299781	5
AGO2	PP cell	AAB	447	0.4563758373260498	0.0	28.187919463087248	126
AGO2	PP cell	Control	1402	0.25891584157943726	0.0	19.400855920114125	272
AGO2	PP cell	T1D	362	0.6961326003074646	0.0	39.50276243093923	143
AGO2	PP cell	T2D	614	0.5179153084754944	0.0	32.08469055374593	197
AGO2	acinar cell	AAB	6645	0.5512415170669556	0.0	29.194883370955605	1940
AGO2	acinar cell	Control	25693	0.337329238653183	0.0	21.889230529716265	5624
AGO2	acinar cell	T1D	11264	0.5824751257896423	0.0	33.35404829545455	3757
AGO2	acinar cell	T2D	15892	0.5383211970329285	0.0	31.34910646866348	4982
AGO2	alpha cell	AAB	8759	0.40666744112968445	0.0	28.245233474140885	2474
AGO2	alpha cell	Control	31545	0.30613410472869873	0.0	22.86891741955936	7214
AGO2	alpha cell	T1D	8175	0.5422629714012146	0.0	35.217125382263	2879
AGO2	alpha cell	T2D	16634	0.5120235681533813	0.0	31.880485752074065	5303
AGO2	beta cell	AAB	8523	0.25284522771835327	0.0	19.00739176346357	1620
AGO2	beta cell	Control	27160	0.2749631702899933	0.0	19.56921944035346	5315
AGO2	beta cell	T1D	715	0.7622377872467041	0.0	39.3006993006993	281
AGO2	beta cell	T2D	8161	0.501409113407135	0.0	30.18012498468325	2463
AGO2	delta cell	AAB	655	0.3465648889541626	0.0	27.175572519083968	178
AGO2	delta cell	Control	3358	0.22572959959506989	0.0	17.24240619416319	579
AGO2	delta cell	T1D	737	0.5061058402061462	0.0	31.343283582089555	231
AGO2	delta cell	T2D	919	0.44287267327308655	0.0	28.726877040261158	264
AGO2	duct epithelial cell	AAB	3313	1.037730097770691	1.0	51.765771204346514	1715
AGO2	duct epithelial cell	Control	6724	0.7105889320373535	0.0	40.63057703747769	2732
AGO2	duct epithelial cell	T1D	5311	0.9280738234519958	1.0	50.95085671248353	2706
AGO2	duct epithelial cell	T2D	4877	0.9372565150260925	0.0	46.11441459913881	2249
AGO2	endothelial cell	AAB	913	0.451259583234787	0.0	29.46330777656079	269
AGO2	endothelial cell	Control	2744	0.262390673160553	0.0	19.424198250728864	533
AGO2	endothelial cell	T1D	945	0.35873016715049744	0.0	26.666666666666668	252
AGO2	endothelial cell	T2D	1250	0.3928000032901764	0.0	24.560000000000002	307
AGO2	epsilon cell	AAB	35	0.4285714328289032	0.0	28.57142857142857	10
AGO2	epsilon cell	Control	97	0.24742268025875092	0.0	17.525773195876287	17
AGO2	epsilon cell	T1D	41	0.4878048896789551	0.0	31.70731707317073	13
AGO2	epsilon cell	T2D	23	0.47826087474823	0.0	34.78260869565217	8
AGO2	leukocyte	AAB	136	0.4779411852359772	0.0	31.61764705882353	43
AGO2	leukocyte	Control	529	0.1833648383617401	0.0	15.311909262759924	81
AGO2	leukocyte	T1D	229	0.27074235677719116	0.0	21.83406113537118	50
AGO2	leukocyte	T2D	304	0.22039473056793213	0.0	18.092105263157894	55
AGO2	mesenchymal cell	AAB	1571	0.8058561682701111	0.0	39.783577339274345	625
AGO2	mesenchymal cell	Control	4411	0.5572432279586792	0.0	34.096576739968256	1504
AGO2	mesenchymal cell	T1D	1132	0.6881625652313232	0.0	42.84452296819788	485
AGO2	mesenchymal cell	T2D	2473	0.6801455616950989	0.0	40.11322280630813	992
AGO2	unknown	AAB	901	0.10321864485740662	0.0	8.32408435072142	75
AGO2	unknown	Control	3424	0.10221962630748749	0.0	8.14836448598131	279
AGO2	unknown	T1D	1206	0.19320066273212433	0.0	12.85240464344942	155
AGO2	unknown	T2D	1828	0.18161925673484802	0.0	12.144420131291028	222
