gene	cell_type	AAB_vs_Control	tau	top_celltype	above_floor	call	is_called_ct	confident_call
MNDA	PP cell	0.0	0.9967688036260532	leukocyte	False	below detection	False	False
MNDA	acinar cell	-3.526748696458526e-05	0.9967688036260532	leukocyte	False	below detection	False	False
MNDA	alpha cell	0.0	0.9967688036260532	leukocyte	False	below detection	False	False
MNDA	beta cell	0.0	0.9967688036260532	leukocyte	False	below detection	False	False
MNDA	delta cell	0.0	0.9967688036260532	leukocyte	False	below detection	False	False
MNDA	duct epithelial cell	-3.771297633647919e-05	0.9967688036260532	leukocyte	False	below detection	False	False
MNDA	endothelial cell	0.0	0.9967688036260532	leukocyte	False	below detection	False	False
MNDA	epsilon cell	0.0	0.9967688036260532	leukocyte	False	below detection	False	False
MNDA	leukocyte	-0.001271359622478485	0.9967688036260532	leukocyte	False	below detection	True	False
MNDA	mesenchymal cell	-0.0006647526170127094	0.9967688036260532	leukocyte	False	below detection	False	False
MNDA	unknown	0.0	0.9967688036260532	leukocyte	False	below detection	False	False
LINC01259	PP cell	0.0	0.9954697060649096	leukocyte	False	below detection	False	False
LINC01259	acinar cell	0.0	0.9954697060649096	leukocyte	False	below detection	False	False
LINC01259	alpha cell	0.00012980283645447344	0.9954697060649096	leukocyte	False	below detection	False	False
LINC01259	beta cell	-7.934558198030572e-06	0.9954697060649096	leukocyte	False	below detection	False	False
LINC01259	delta cell	0.0	0.9954697060649096	leukocyte	False	below detection	False	False
LINC01259	duct epithelial cell	0.0	0.9954697060649096	leukocyte	False	below detection	False	False
LINC01259	endothelial cell	0.0	0.9954697060649096	leukocyte	False	below detection	False	False
LINC01259	epsilon cell	0.0	0.9954697060649096	leukocyte	False	below detection	False	False
LINC01259	leukocyte	0.0	0.9954697060649096	leukocyte	False	below detection	True	False
LINC01259	mesenchymal cell	0.0	0.9954697060649096	leukocyte	False	below detection	False	False
LINC01259	unknown	0.0	0.9954697060649096	leukocyte	False	below detection	False	False
IL10	PP cell	-9.679474169388413e-05	0.9918103440100352	leukocyte	False	below detection	False	False
IL10	acinar cell	-0.00010214185749646276	0.9918103440100352	leukocyte	False	below detection	False	False
IL10	alpha cell	-0.0004517098714131862	0.9918103440100352	leukocyte	False	below detection	False	False
IL10	beta cell	0.00027006136951968074	0.9918103440100352	leukocyte	False	below detection	False	False
IL10	delta cell	-0.0015752649633213878	0.9918103440100352	leukocyte	False	below detection	False	False
IL10	duct epithelial cell	3.9548263885080814e-05	0.9918103440100352	leukocyte	False	below detection	False	False
IL10	endothelial cell	0.0	0.9918103440100352	leukocyte	False	below detection	False	False
IL10	epsilon cell	0.0	0.9918103440100352	leukocyte	False	below detection	False	False
IL10	leukocyte	-0.06264819204807281	0.9918103440100352	leukocyte	False	below detection	True	False
IL10	mesenchymal cell	0.0037931958213448524	0.9918103440100352	leukocyte	False	below detection	False	False
IL10	unknown	-0.0028480063192546368	0.9918103440100352	leukocyte	False	below detection	False	False
RUNX3	PP cell	-0.006460203789174557	0.9906488883486064	leukocyte	True	leukocyte	False	True
RUNX3	acinar cell	-0.0008289024699479342	0.9906488883486064	leukocyte	True	leukocyte	False	True
RUNX3	alpha cell	5.517125828191638e-06	0.9906488883486064	leukocyte	True	leukocyte	False	True
RUNX3	beta cell	-0.00038069108268246055	0.9906488883486064	leukocyte	True	leukocyte	False	True
RUNX3	delta cell	-0.0012409099144861102	0.9906488883486064	leukocyte	True	leukocyte	False	True
RUNX3	duct epithelial cell	8.33428930491209e-06	0.9906488883486064	leukocyte	True	leukocyte	False	True
RUNX3	endothelial cell	-0.002532301237806678	0.9906488883486064	leukocyte	True	leukocyte	False	True
